"department_id","employee_id","end_date","id","job_id","start_date","language"
"NULL","NULL","2023-11-25T08:32:55","1","NULL","2023-11-24T16:27:34","FRENCH"
"NULL","NULL","2023-11-25T12:03:36","2","NULL","2023-11-25T03:00:19","ENGLISH"
"NULL","NULL","2023-11-25T01:32:18","3","NULL","2023-11-24T22:05:52","ENGLISH"
"NULL","NULL","2023-11-24T19:53:22","4","NULL","2023-11-25T11:38:28","FRENCH"
"NULL","NULL","2023-11-25T04:12:03","5","NULL","2023-11-25T05:47:13","ENGLISH"
"NULL","NULL","2023-11-25T08:06:53","6","NULL","2023-11-25T12:46:24","ENGLISH"
"NULL","NULL","2023-11-25T09:16:52","7","NULL","2023-11-24T15:40:59","ENGLISH"
"NULL","NULL","2023-11-25T12:00:43","8","NULL","2023-11-24T19:21:50","ENGLISH"
"NULL","NULL","2023-11-24T19:33:51","9","NULL","2023-11-25T09:32:11","SPANISH"
"NULL","NULL","2023-11-24T15:07:16","10","NULL","2023-11-25T04:46","ENGLISH"
