"country_id","id","city","postal_code","state_province","street_address"
"1","1","Wolfshire","accurate phew fooey","likewise","geez kiddingly kosher"
"2","2","South Nevaton","chuck quietly gadzooks","lest","circumstance"
"3","3","Kreigerworth","furthermore","sensor","conventional"
"NULL","4","Lake Jessicaside","pearl paw","buzzing","delightful"
"4","5","Lake Eldoratown","supposing aboard pfft","gee heirloom","untimely comment glove"
"5","6","Fort Braden","whoa plus concerning","ack","spew unhappy"
"6","7","Port Magnoliaburgh","whose","than that finally","freely huzzah"
"7","8","Tillmanfort","onto beyond perky","shrilly corrupt","instead trounce mmm"
"NULL","9","Fort Bernice","napkin puzzling athwart","lest","till which"
"NULL","10","South Kiannaborough","what","loosely habit","next tackle"
